time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
3.346739,-0.0829710752324,-1.28841587464,-1.13487920628,1.80972805268,0.723894375719,1.44905561202,-0.569999424626,0.715110807721,-0.864668203363,-0.0359034228034,0.781892938582,0.0546624744604,1.6316895345,-0.0867358560694
3.356728,-0.0804014225293,-1.28831064956,-1.13531549472,1.80730094168,0.723369102708,1.45057906322,-0.567106526602,0.718784272188,-0.864551760688,-0.0363643899644,0.779459097022,0.0540242776171,1.63310380107,-0.0826052829312
3.366717,-0.0778263800997,-1.28806910223,-1.13552505137,1.80522760393,0.722813521721,1.45153035709,-0.564303971872,0.722460734991,-0.864299020063,-0.0365985718638,0.777379043295,0.0533560174453,1.63394614685,-0.0785677344893
3.376706,-0.0756673444404,-1.28799368727,-1.13560655568,1.80355356436,0.72231106692,1.4520676873,-0.561497948871,0.725718788504,-0.864212436221,-0.03670464771,0.7756983024,0.0527411292457,1.63437476663,-0.0745294116592
3.386695,-0.0736540528101,-1.28828775062,-1.13589328804,1.8018668126,0.721914275649,1.45293587216,-0.558426773748,0.728828504364,-0.864495357051,-0.0370158936236,0.774004865125,0.0522321699141,1.63513449761,-0.0702288448691
3.396684,-0.0715622178463,-1.28847368878,-1.13587613989,1.80009883276,0.721590145523,1.45382317199,-0.555324648487,0.732014292447,-0.864670177797,-0.0370232037786,0.772230214835,0.0517961245293,1.63591358798,-0.0659000987329
3.406673,-0.0692248585552,-1.28851648914,-1.13588392239,1.79847131612,0.721347585576,1.45422444619,-0.552543714852,0.735443168149,-0.864701885507,-0.0370553900952,0.770596042613,0.0514418986079,1.63620689375,-0.0618952764387
3.416662,-0.0667253331573,-1.28866184899,-1.13580865746,1.79708871289,0.721128181562,1.45456848437,-0.54994354392,0.739031763034,-0.864836177577,-0.0370044742846,0.769206798716,0.0511110789488,1.63644320555,-0.0580739605195
3.426652,-0.064294129794,-1.28886179275,-1.13563947008,1.79581949478,0.720894839804,1.4550916079,-0.547330103888,0.742549578947,-0.865025078535,-0.0368595810864,0.767930954921,0.0507665728988,1.63685884572,-0.0542421304004
3.436641,-0.0620261925365,-1.28888713175,-1.13556800803,1.79468491,0.720830487329,1.45553815389,-0.544673451559,0.745901662008,-0.865039399788,-0.0368123580669,0.766789759488,0.0505913084884,1.63719815236,-0.0503698538801
3.446630,-0.0598663075949,-1.28881124763,-1.13555581143,1.79371915126,0.720964065743,1.45573614593,-0.542199085337,0.7491432164,-0.864952523093,-0.0368243451338,0.76581740521,0.0506142283071,1.63728914999,-0.0466826401388
3.456619,-0.0577195018963,-1.28870546452,-1.13561499932,1.79287413278,0.72114466366,1.4558079959,-0.539874689109,0.752369205786,-0.864835772668,-0.0369076611134,0.764965806336,0.0506844219313,1.63725425144,-0.0431481836098
3.466608,-0.0554698275023,-1.28855991425,-1.13573905104,1.79211251884,0.721221040924,1.45588238169,-0.537339583944,0.755695568895,-0.864679280437,-0.0370557851407,0.76419762722,0.0506506501459,1.6372221355,-0.0394058156923
3.476597,-0.0531634568644,-1.28857286336,-1.13563293264,1.79141979907,0.721190774161,1.45596449666,-0.534524331644,0.759076124259,-0.864681313041,-0.0369736830657,0.763498357549,0.0505104905009,1.63719799643,-0.0353861082957
3.486586,-0.0511528678978,-1.28885976892,-1.13532387869,1.79072311371,0.72128128706,1.45611717987,-0.531799919365,0.762158385143,-0.864957327628,-0.0366885892627,0.762795137602,0.0504913675876,1.63724467415,-0.0314600584674
3.496575,-0.0490949764664,-1.28911373158,-1.13534454422,1.790128674,0.721604432914,1.45617582694,-0.529118633862,0.765285427052,-0.865200424932,-0.036733158569,0.762194178681,0.0507051355809,1.63719756514,-0.0275799626389
3.506564,-0.0467881212916,-1.28923079637,-1.1356961552,1.78959694628,0.722085843044,1.45614988175,-0.526376945829,0.768658896092,-0.865306650155,-0.0371086166001,0.761655947217,0.0510774273548,1.63706611479,-0.0236423085169
3.516554,-0.044617142008,-1.28906287455,-1.13577538642,1.78908500597,0.722751573836,1.45623208928,-0.52355010365,0.771893721288,-0.865127916888,-0.0372116329988,0.761137520042,0.0516343229618,1.63704309094,-0.0196226038825
